1  IMP LSE  IVE  00 F  FOR 30 M NUTE S                                 
    A = .00007912     B = 274.5     R = 1.385
    MAX STEP TIME = 1.00 MIN
TOTAL DIVE     ACTUAL      ALTITUDE      SAFE ASCENT DEPTHS (FT OF SEAWATER)
TIME (MIN)     DEPTH (FT)  (1000 FT)      1        2        3        4

      0.00       0.00              1   -19.07   -19.07   -19.07   -19.07
      5.00     200.00              1     7.81   -17.20   -18.99   -19.07
     10.00     200.00              1    27.63   -12.47   -18.51   -19.04
     15.00     200.00              1    42.00    -6.11   -17.42   -18.91
     20.00     200.00              1    52.44     0.89   -15.69   -18.61
     25.00     200.00              1    60.17     7.88   -13.36   -18.09
     30.00     200.00              1    66.03    14.49   -10.55   -17.29
     35.00       0.00              1    45.53    17.89    -7.55   -16.20
     40.00       0.00              1    32.16    17.78    -4.96   -14.85
     45.00       0.00              1    22.90    16.20    -3.03   -13.37
     50.00       0.00              1    16.17    14.09    -1.70   -11.85
     55.00       0.00              2    11.10    11.88    -0.87   -10.39
     60.00       0.00              2     7.17     9.75    -0.39    -9.02
     65.00       0.00              2     4.04     7.78    -0.17    -7.80
     70.00       0.00              2     1.51     6.00    -0.13    -6.72
     75.00       0.00              2    -0.57     4.40    -0.21    -5.79
     80.00       0.00              2    -2.31     2.97    -0.37    -5.02
     85.00       0.00              2    -3.77     1.70    -0.57    -4.37
     90.00       0.00              2    -5.01     0.56    -0.81    -3.85
     93.00       0.00              2    -5.67    -0.05    -0.97    -3.59
