1 USN  IVE  ABLE 150  T FO  30  INUT ES                                
    A = .00007912     B = 274.5     R = 1.385
    MAX STEP TIME = 1.00 MIN
    ASC =  60.0 FT/MIN      DESC =  60.0 FT/MIN
TOTAL DIVE     ACTUAL      ALTITUDE      SAFE ASCENT DEPTHS (FT OF SEAWATER)
TIME (MIN)     DEPTH (FT)  (1000 FT)      1        2        3        4

      0.00       0.00              1   -19.07   -19.07   -19.07   -19.07
      2.00     120.00              1   -16.14   -19.02   -19.07   -19.07
      4.00     150.00              1    -8.67   -18.67   -19.06   -19.07
      6.00     150.00              1    -1.81   -17.96   -19.03   -19.07
      8.00     150.00              1     4.30   -16.94   -18.95   -19.07
     10.00     150.00              1     9.74   -15.67   -18.82   -19.06
     12.00     150.00              1    14.57   -14.20   -18.63   -19.04
     14.00     150.00              1    18.87   -12.58   -18.37   -19.01
     16.00     150.00              1    22.68   -10.86   -18.05   -18.97
     18.00     150.00              1    26.08    -9.05   -17.67   -18.91
     20.00     150.00              1    29.12    -7.20   -17.22   -18.83
     22.00     150.00              1    31.83    -5.33   -16.71   -18.74
     24.00     150.00              1    34.26    -3.46   -16.13   -18.61
     26.00     150.00              1    36.45    -1.60   -15.51   -18.46
     28.00     150.00              1    38.43     0.23   -14.83   -18.29
     30.00     150.00              1    40.23     2.02   -14.11   -18.08
     32.00      30.00              1    38.05     3.66   -13.35   -17.85
     34.00      20.00              1    33.08     4.84   -12.57   -17.59
     36.00      20.00              1    28.86     5.58   -11.81   -17.29
     38.00      20.00              1    25.26     6.00   -11.07   -16.97
     40.00      10.00              1    21.79     6.17   -10.39   -16.63
     42.00      10.00              1    18.77     6.13    -9.75   -16.27
     44.00      10.00              1    16.14     5.94    -9.17   -15.90
     46.00      10.00              1    13.84     5.65    -8.65   -15.51
     48.00      10.00              1    11.82     5.28    -8.19   -15.12
     50.00      10.00              1    10.02     4.86    -7.78   -14.72
     52.00      10.00              1     8.43     4.40    -7.43   -14.32
     54.00      10.00              1     7.00     3.93    -7.12   -13.93
     56.00      10.00              1     5.72     3.44    -6.85   -13.54
     58.00      10.00              1     4.56     2.96    -6.62   -13.16
     60.00      10.00              1     3.51     2.47    -6.43   -12.78
     62.00      10.00              1     2.57     2.00    -6.27   -12.42
     62.10       2.51              1     2.51     1.97    -6.26   -12.40
     64.00       1.52              2     1.40     1.52    -6.13   -12.07
     66.00       1.05              2     0.32     1.05    -6.02   -11.73
     68.00       0.57              2    -0.69     0.57    -5.93   -11.40
     70.00       0.10              2    -1.62     0.10    -5.86   -11.09
     71.00      -0.14              2    -2.06    -0.14    -5.84   -10.94
